Project,Package,Class,MethodSignature,OuterClass,AccessModifier,IsStatic,IsFinal,ATFD,CA,CAM,CBO,CBOMZ,CE,CYCLO,DAM,DIT,LCOM,LD,LOC_C,LOC_M,MFA,MOA,MRD,NOAIT_C,NOAM,NOASIT_C,NOAU,NOBU,NOC,NOCT,NODT_C,NODV_C,NOECU_C,NOEET,NOET,NOFS_C,NOIS_C,NOL_C,NOL_M,NOM,NOMM,NOMR_C,NOMR_M,NONT,NOPA,NOPT,NOPV,NORT,NPM,Nono_C,RFC,ALU,WMC,WMCNAMM,WOC
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testSetPropertyOnPrimitiveWrappers(),,public,false,false,,,,,,,1,,,,,,6,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,setUp(),,public,false,false,,,,,,,1,,,,,,45,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,DynaBeanUtilsTestCase,testGetIndexedProperty1(),,public,false,false,,,,,,,4,,,,,,16,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,Child,,,public,false,false,,,,,,,,,,,0,4,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1,0,0,,0,0,0,0,0,1,0,,false,1,1,1
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,Child,getName(),,public,false,false,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,PrimitiveBean,setDouble(double),,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,PrimitiveBean,getInt(),,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,PrimitiveBean,setBoolean(boolean),,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,PrimitiveBean,getLong(),,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
/home/mich/Desktop/projects/commons-beanutils/src/test/java/org/apache/commons/beanutils,org.apache.commons.beanutils,PrimitiveBean,setInt(int),,public,false,false,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,
