"LD.x","LOC_C.x","MRD.x","NOAIT_C.x","NOAM.x","NOASIT_C.x","NOAU.x","NOBU.x","NOCT.x","NODT_C.x","NODV_C.x","NOECU_C.x","NOEET.x","NOET.x","NOFS_C.x","NOIS_C.x","NOL_C.x","NOM.x","NOMM.x","NOMR_C.x","NONT.x","NOPA.x","NOPT.x","NOPV.x","NORT.x","NPM.x","Nono_C.x","ALU.x","WMC.x","WMCNAMM.x","WOC.x","MAX_CYCLO.x","MIN_CYCLO.x","MEAN_CYCLO.x","LD.y","LOC_C.y","MRD.y","NOAIT_C.y","NOAM.y","NOASIT_C.y","NOAU.y","NOBU.y","NOCT.y","NODT_C.y","NODV_C.y","NOECU_C.y","NOEET.y","NOET.y","NOFS_C.y","NOIS_C.y","NOL_C.y","NOM.y","NOMM.y","NOMR_C.y","NONT.y","NOPA.y","NOPT.y","NOPV.y","NORT.y","NPM.y","Nono_C.y","ALU.y","WMC.y","WMCNAMM.y","WOC.y","MAX_CYCLO.y","MIN_CYCLO.y","MEAN_CYCLO.y","goodTest"
0,48,0,0,2,0,0,0,0,0,9,0,0,0,1,1,0,6,2,0,0,1,0,4,0,6,0,"false",8,4,0.333333333333333,3,1,1.33333333333333,0,54,0,2,1,0,0,0,6,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,2,"false",7,6,0.857142857142857,1,1,1,0
0,34,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,1,0,7,1,"false",7,3,0.428571428571429,1,1,1,0,11,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"false",1,1,1,1,1,1,0
0,28,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,"false",4,3,0.75,1,1,1,0,54,0,2,1,0,0,0,6,0,15,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,2,"false",7,6,0.857142857142857,1,1,1,0
0,48,0,0,2,0,0,0,0,0,7,0,0,0,0,1,0,6,1,0,0,0,0,2,0,4,0,"false",7,4,0.5,2,1,1.14285714285714,0,39,0,1,1,0,0,0,4,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,1,"false",5,4,0.8,1,1,1,0
0,176,0,0,1,0,0,0,0,0,27,0,0,0,1,16,0,16,3,0,0,1,0,5,0,9,0,"false",37,33,0.75,5,1,2.23529411764706,0,76,0,0,1,0,0,0,8,0,16,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,0,"false",9,8,0.888888888888889,1,1,1,0
0,117,0,0,7,0,0,0,0,0,15,0,0,0,0,2,0,12,2,0,0,0,0,8,0,11,9,"false",19,4,0.25,7,1,1.58333333333333,0,144,0,17,1,0,0,1,9,0,20,0,0,0,0,0,0,12,0,0,0,0,0,6,0,10,7,"false",19,18,0.916666666666667,5,1,1.58333333333333,0
0,28,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,"false",4,2,0.5,1,1,1,0,122,0,2,1,0,0,0,12,0,35,0,0,0,0,0,0,13,0,0,0,0,0,0,0,12,2,"false",13,12,0.923076923076923,1,1,1,0
0,152,0,0,3,0,0,0,0,0,23,0,0,0,0,7,0,18,5,0,0,5,0,11,0,10,3,"false",25,17,0.555555555555556,3,1,1.35714285714286,0,92,0,2,1,0,0,0,10,0,21,0,0,0,0,0,0,11,0,0,0,0,0,0,0,10,2,"false",11,10,0.909090909090909,1,1,1,0
0,60,0,0,1,0,0,0,0,0,11,0,0,0,1,4,0,7,2,0,0,1,0,3,0,6,0,"false",12,9,0.571428571428571,4,1,1.71428571428571,0,54,0,2,1,0,0,0,6,0,12,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,2,"false",7,6,0.857142857142857,1,1,1,0
0,48,0,0,2,0,0,0,0,0,7,0,0,0,0,3,0,5,1,0,0,1,0,3,0,5,0,"false",8,5,0.4,4,1,1.5,0,72,0,2,1,0,0,0,8,0,22,0,0,0,0,0,0,9,0,0,0,0,0,0,0,8,2,"false",9,8,0.888888888888889,1,1,1,0
